trans_num,cc_num,merchant,category,amt,trans_date_trans_time,city,state,is_fraud
TXN-000024,4739000023,Merchant_misc_net_24,misc_net,22.44,2024-01-24 14:06:00,Seattle,WA,0
TXN-000025,9906000024,Merchant_grocery_pos_3,grocery_pos,394.96,2024-01-25 04:56:00,Philadelphia,PA,1
TXN-000026,6028000025,Merchant_entertainment_25,entertainment,201.84,2024-01-26 14:18:00,Los Angeles,CA,0
TXN-000027,7095000026,Merchant_shopping_net_19,shopping_net,63.13,2024-01-27 10:49:00,Houston,TX,0
TXN-000028,1282000027,Merchant_gas_transport_8,gas_transport,119.51,2024-01-28 13:54:00,Houston,TX,0
TXN-000029,7749000028,Merchant_grocery_pos_17,grocery_pos,17.77,2024-01-29 18:28:00,Philadelphia,PA,0
TXN-000030,3228000029,Merchant_shopping_net_14,shopping_net,241.48,2024-01-30 12:53:00,Seattle,WA,0
TXN-000031,2759000030,Merchant_shopping_net_27,shopping_net,10586.46,2024-01-31 01:22:00,Seattle,WA,1
TXN-000032,2943000031,Merchant_grocery_pos_14,grocery_pos,180.64,2024-02-01 13:53:00,Atlanta,GA,0
TXN-000033,2020000032,Merchant_shopping_pos_42,shopping_pos,432.31,2024-02-02 22:38:00,Houston,TX,1
TXN-000034,5069000033,Merchant_misc_pos_23,misc_pos,128.08,2024-02-03 14:13:00,Columbus,OH,0
TXN-000035,8365000034,Merchant_misc_net_41,misc_net,7604.07,2024-02-04 03:56:00,Los Angeles,CA,1
TXN-000036,1675000035,Merchant_travel_31,travel,144.07,2024-02-05 10:05:00,New York,NY,0
TXN-000037,8542000036,Merchant_shopping_net_25,shopping_net,269.14,2024-02-06 13:05:00,Philadelphia,PA,0
TXN-000038,2595000037,Merchant_grocery_pos_21,grocery_pos,257.83,2024-02-07 15:01:00,Atlanta,GA,0
TXN-000039,1820000038,Merchant_misc_net_13,misc_net,2922.05,2024-02-08 00:29:00,New York,NY,1
TXN-000040,6545000039,Merchant_health_fitness_12,health_fitness,385.59,2024-02-09 20:20:00,Chicago,IL,0
TXN-000041,2842000040,Merchant_personal_care_23,personal_care,334.13,2024-02-10 12:10:00,Los Angeles,CA,0
TXN-000042,9213000041,Merchant_food_dining_29,food_dining,146.02,2024-02-11 13:17:00,Atlanta,GA,0
TXN-000043,1996000042,Merchant_shopping_pos_47,shopping_pos,262.1,2024-02-12 19:48:00,Columbus,OH,0
TXN-000044,8963000043,Merchant_grocery_pos_23,grocery_pos,101.9,2024-02-13 14:05:00,Houston,TX,0
TXN-000045,7339000044,Merchant_entertainment_36,entertainment,26.45,2024-02-14 09:26:00,Miami,FL,0
TXN-000046,8208000045,Merchant_grocery_pos_24,grocery_pos,1582.13,2024-02-15 03:09:00,Houston,TX,1
TXN-000047,5151000046,Merchant_entertainment_4,entertainment,16.09,2024-02-16 08:48:00,Miami,FL,0
TXN-000048,1232000047,Merchant_personal_care_4,personal_care,239.52,2024-02-17 10:48:00,Houston,TX,0
TXN-000049,2891000048,Merchant_kids_pets_33,kids_pets,292.22,2024-02-18 08:39:00,Houston,TX,0
TXN-000050,1533000049,Merchant_food_dining_20,food_dining,301.22,2024-02-19 16:24:00,Chicago,IL,0
TXN-000051,4505000050,Merchant_shopping_net_23,shopping_net,111.03,2024-02-20 18:44:00,Philadelphia,PA,0
TXN-000052,6045000051,Merchant_shopping_pos_39,shopping_pos,336.26,2024-02-21 09:11:00,Columbus,OH,0
TXN-000053,4010000052,Merchant_kids_pets_19,kids_pets,387.58,2024-02-22 14:15:00,Houston,TX,0
TXN-000054,9355000053,Merchant_food_dining_42,food_dining,289.28,2024-02-23 19:53:00,Charlotte,NC,0
TXN-000055,2184000054,Merchant_personal_care_6,personal_care,396.46,2024-02-24 19:37:00,Houston,TX,0
TXN-000056,6798000055,Merchant_home_38,home,322.78,2024-02-25 18:55:00,Charlotte,NC,0
TXN-000057,2839000056,Merchant_misc_net_46,misc_net,386.23,2024-02-26 11:48:00,Miami,FL,0
TXN-000058,2456000057,Merchant_kids_pets_17,kids_pets,210.99,2024-02-27 14:35:00,Seattle,WA,0
TXN-000059,7237000058,Merchant_travel_22,travel,40.1,2024-02-28 17:04:00,Houston,TX,0
TXN-000060,7384000059,Merchant_misc_pos_43,misc_pos,143.01,2024-02-29 19:02:00,Columbus,OH,0
TXN-000061,9567000060,Merchant_kids_pets_44,kids_pets,339.15,2024-03-01 10:02:00,Miami,FL,0
TXN-000062,5551000061,Merchant_shopping_pos_4,shopping_pos,278.28,2024-03-02 09:00:00,Philadelphia,PA,0
TXN-000063,5398000062,Merchant_shopping_pos_32,shopping_pos,284.06,2024-03-03 14:51:00,Los Angeles,CA,0
TXN-000064,4406000063,Merchant_shopping_pos_37,shopping_pos,96.21,2024-03-04 15:14:00,Seattle,WA,0
TXN-000065,2658000064,Merchant_grocery_pos_42,grocery_pos,498.18,2024-03-05 04:22:00,New York,NY,1
TXN-000066,4627000065,Merchant_entertainment_4,entertainment,233.72,2024-03-06 19:15:00,Philadelphia,PA,0
TXN-000067,9617000066,Merchant_home_14,home,177.55,2024-03-07 11:04:00,Chicago,IL,0
TXN-000068,7715000067,Merchant_misc_pos_43,misc_pos,190.45,2024-03-08 14:49:00,Atlanta,GA,0
TXN-000069,4032000068,Merchant_entertainment_23,entertainment,173.83,2024-03-09 12:33:00,Philadelphia,PA,0
TXN-000070,8856000069,Merchant_kids_pets_49,kids_pets,286.95,2024-03-10 09:31:00,Seattle,WA,0
TXN-000071,5065000070,Merchant_misc_pos_21,misc_pos,352.92,2024-03-11 19:19:00,Los Angeles,CA,0
TXN-000072,9591000071,Merchant_grocery_pos_21,grocery_pos,256.98,2024-03-12 11:57:00,Houston,TX,0
TXN-000073,7198000072,Merchant_gas_transport_45,gas_transport,200.47,2024-03-13 17:43:00,Houston,TX,0
TXN-000074,7868000073,Merchant_health_fitness_20,health_fitness,368.11,2024-03-14 18:06:00,Charlotte,NC,0
TXN-000075,5498000074,Merchant_travel_18,travel,113.07,2024-03-15 13:52:00,Charlotte,NC,0
TXN-000076,5571000075,Merchant_grocery_pos_41,grocery_pos,377.39,2024-03-16 12:06:00,Chicago,IL,0
TXN-000077,6754000076,Merchant_gas_transport_46,gas_transport,142.54,2024-03-17 14:08:00,Philadelphia,PA,0
TXN-000078,8822000077,Merchant_entertainment_45,entertainment,55.97,2024-03-18 14:55:00,Houston,TX,0
TXN-000079,2850000078,Merchant_travel_19,travel,175.87,2024-03-19 12:13:00,Atlanta,GA,0
TXN-000080,8929000079,Merchant_grocery_pos_14,grocery_pos,282.31,2024-03-20 15:27:00,Miami,FL,0
TXN-000081,7333000080,Merchant_entertainment_42,entertainment,389.47,2024-03-21 08:18:00,Houston,TX,0
TXN-000082,3664000081,Merchant_shopping_pos_33,shopping_pos,85.77,2024-03-22 11:21:00,Houston,TX,0
TXN-000083,5164000082,Merchant_misc_net_26,misc_net,120.1,2024-03-23 19:48:00,Chicago,IL,0
TXN-000084,7777000083,Merchant_shopping_pos_30,shopping_pos,10049.28,2024-03-24 23:25:00,Miami,FL,1
TXN-000085,2155000084,Merchant_grocery_pos_46,grocery_pos,4497.93,2024-03-25 01:08:00,Houston,TX,1
TXN-000086,2229000085,Merchant_personal_care_27,personal_care,84.65,2024-03-26 20:24:00,Miami,FL,0
TXN-000087,2200000086,Merchant_gas_transport_19,gas_transport,130.95,2024-03-27 16:11:00,New York,NY,0
TXN-000088,2399000087,Merchant_misc_net_2,misc_net,12001.38,2024-03-28 22:27:00,Charlotte,NC,1
TXN-000089,2449000088,Merchant_grocery_pos_16,grocery_pos,326.4,2024-03-29 15:51:00,Miami,FL,0
TXN-000090,5721000089,Merchant_kids_pets_8,kids_pets,5.95,2024-03-30 10:04:00,New York,NY,0
TXN-000091,9658000090,Merchant_shopping_net_6,shopping_net,291.08,2024-03-31 10:37:00,Seattle,WA,0
TXN-000092,2906000091,Merchant_health_fitness_21,health_fitness,261.39,2024-04-01 10:07:00,Philadelphia,PA,0
TXN-000093,4905000092,Merchant_gas_transport_24,gas_transport,304.63,2024-04-02 08:31:00,Miami,FL,0
TXN-000094,2417000093,Merchant_gas_transport_5,gas_transport,216.04,2024-04-03 20:54:00,Philadelphia,PA,0
TXN-000095,8901000094,Merchant_shopping_net_31,shopping_net,85.14,2024-04-04 13:07:00,Atlanta,GA,0
TXN-000096,5749000095,Merchant_health_fitness_35,health_fitness,139.79,2024-04-05 16:36:00,Columbus,OH,0
TXN-000097,1721000096,Merchant_misc_net_45,misc_net,314.23,2024-04-06 16:15:00,Houston,TX,0
TXN-000098,4554000097,Merchant_personal_care_7,personal_care,50.21,2024-04-07 08:13:00,Los Angeles,CA,0
TXN-000099,4974000098,Merchant_shopping_net_16,shopping_net,358.36,2024-04-08 03:34:00,Miami,FL,1
TXN-000100,6391000099,Merchant_travel_32,travel,367.08,2024-04-09 09:30:00,Charlotte,NC,0
TXN-000101,8688000100,Merchant_grocery_pos_12,grocery_pos,5055.86,2024-04-10 03:51:00,Columbus,OH,1
TXN-000102,8540000101,Merchant_shopping_pos_40,shopping_pos,13707.84,2024-04-11 22:37:00,Columbus,OH,1
TXN-000103,7210000102,Merchant_shopping_net_25,shopping_net,164.84,2024-04-12 04:14:00,Philadelphia,PA,1
TXN-000104,3657000103,Merchant_shopping_net_3,shopping_net,11529.09,2024-04-13 03:06:00,Miami,FL,1
TXN-000105,3461000104,Merchant_gas_transport_13,gas_transport,198.88,2024-04-14 11:25:00,Miami,FL,0
TXN-000106,5247000105,Merchant_grocery_pos_5,grocery_pos,299.96,2024-04-15 16:43:00,Charlotte,NC,0
TXN-000107,7415000106,Merchant_kids_pets_46,kids_pets,206.62,2024-04-16 17:05:00,Seattle,WA,0
TXN-000108,7435000107,Merchant_grocery_pos_35,grocery_pos,296.84,2024-04-17 10:19:00,Houston,TX,0
TXN-000109,8696000108,Merchant_entertainment_18,entertainment,224.61,2024-04-18 11:24:00,Houston,TX,0
TXN-000110,9584000109,Merchant_shopping_pos_39,shopping_pos,295.71,2024-04-19 11:36:00,Philadelphia,PA,0
TXN-000111,6464000110,Merchant_grocery_pos_38,grocery_pos,163.6,2024-04-20 19:03:00,Los Angeles,CA,0
TXN-000112,2035000111,Merchant_travel_1,travel,229.53,2024-04-21 20:33:00,Los Angeles,CA,0
TXN-000113,4812000112,Merchant_grocery_pos_24,grocery_pos,317.17,2024-04-22 08:15:00,Columbus,OH,0
TXN-000114,7815000113,Merchant_personal_care_5,personal_care,142.33,2024-04-23 11:40:00,Los Angeles,CA,0
TXN-000115,7613000114,Merchant_health_fitness_1,health_fitness,348.06,2024-04-24 14:46:00,New York,NY,0
TXN-000116,3290000115,Merchant_shopping_net_1,shopping_net,355.96,2024-04-25 20:53:00,Charlotte,NC,0
TXN-000117,3348000116,Merchant_shopping_pos_33,shopping_pos,793.33,2024-04-26 23:21:00,Chicago,IL,1
TXN-000118,8630000117,Merchant_grocery_pos_5,grocery_pos,2826.74,2024-04-27 23:19:00,Columbus,OH,1
TXN-000119,5247000118,Merchant_food_dining_9,food_dining,179.58,2024-04-28 08:14:00,Chicago,IL,0
TXN-000120,9232000119,Merchant_grocery_pos_4,grocery_pos,236.62,2024-04-29 12:39:00,Los Angeles,CA,0
TXN-000121,8896000120,Merchant_misc_pos_46,misc_pos,233.81,2024-04-30 12:31:00,New York,NY,0
TXN-000122,9484000121,Merchant_shopping_pos_13,shopping_pos,21.09,2024-05-01 18:53:00,Columbus,OH,0
TXN-000123,6177000122,Merchant_shopping_net_38,shopping_net,237.56,2024-05-02 08:52:00,Los Angeles,CA,0
TXN-000124,2614000123,Merchant_misc_pos_11,misc_pos,63.64,2024-05-03 18:46:00,Seattle,WA,0
TXN-000125,5224000124,Merchant_shopping_net_32,shopping_net,64.05,2024-05-04 17:00:00,Miami,FL,0
TXN-000126,2895000125,Merchant_entertainment_17,entertainment,262.24,2024-05-05 17:44:00,Miami,FL,0
TXN-000127,5037000126,Merchant_misc_pos_18,misc_pos,387.75,2024-05-06 11:14:00,Charlotte,NC,0
TXN-000128,4081000127,Merchant_entertainment_8,entertainment,91.74,2024-05-07 08:05:00,Atlanta,GA,0
TXN-000129,1237000128,Merchant_entertainment_1,entertainment,124.56,2024-05-08 20:16:00,Atlanta,GA,0
TXN-000130,3466000129,Merchant_home_21,home,38.02,2024-05-09 14:17:00,Miami,FL,0
TXN-000131,1455000130,Merchant_grocery_pos_25,grocery_pos,283.33,2024-05-10 20:45:00,Miami,FL,0
TXN-000132,2106000131,Merchant_entertainment_47,entertainment,72.8,2024-05-11 13:27:00,Atlanta,GA,0
TXN-000133,7685000132,Merchant_kids_pets_14,kids_pets,204.73,2024-05-12 15:54:00,Los Angeles,CA,0
TXN-000134,9306000133,Merchant_grocery_pos_36,grocery_pos,102.44,2024-05-13 19:09:00,Houston,TX,0
TXN-000135,8611000134,Merchant_kids_pets_48,kids_pets,107.24,2024-05-14 14:04:00,Atlanta,GA,0
TXN-000136,3519000135,Merchant_grocery_pos_15,grocery_pos,10963.51,2024-05-15 00:55:00,Atlanta,GA,1
TXN-000137,8558000136,Merchant_food_dining_46,food_dining,99.91,2024-05-16 19:04:00,Los Angeles,CA,0
TXN-000138,4428000137,Merchant_misc_net_22,misc_net,68.17,2024-05-17 09:08:00,Columbus,OH,0
TXN-000139,8878000138,Merchant_personal_care_33,personal_care,62.11,2024-05-18 19:34:00,Seattle,WA,0
TXN-000140,4174000139,Merchant_misc_net_6,misc_net,183.74,2024-05-19 10:27:00,Houston,TX,0
TXN-000141,4943000140,Merchant_shopping_pos_46,shopping_pos,378.0,2024-05-20 09:35:00,Columbus,OH,0
TXN-000142,5514000141,Merchant_health_fitness_31,health_fitness,232.23,2024-05-21 16:45:00,Charlotte,NC,0
TXN-000143,7293000142,Merchant_shopping_net_2,shopping_net,359.85,2024-05-22 16:17:00,Chicago,IL,0
TXN-000144,6456000143,Merchant_home_18,home,259.85,2024-05-23 14:15:00,Houston,TX,0
TXN-000145,4991000144,Merchant_entertainment_47,entertainment,251.78,2024-05-24 13:11:00,Houston,TX,0
TXN-000146,9637000145,Merchant_grocery_pos_18,grocery_pos,387.72,2024-05-25 17:00:00,Seattle,WA,0
TXN-000147,7743000146,Merchant_shopping_pos_12,shopping_pos,242.69,2024-05-26 18:36:00,Los Angeles,CA,0
TXN-000148,1031000147,Merchant_misc_net_2,misc_net,4230.92,2024-05-27 01:33:00,Chicago,IL,1
TXN-000149,5622000148,Merchant_personal_care_34,personal_care,346.22,2024-05-28 20:19:00,Los Angeles,CA,0
TXN-000150,4912000149,Merchant_misc_pos_16,misc_pos,278.73,2024-05-29 11:24:00,Los Angeles,CA,0
TXN-000151,4141000150,Merchant_travel_39,travel,399.81,2024-05-30 18:45:00,Chicago,IL,0
TXN-000152,1840000151,Merchant_misc_net_4,misc_net,110.62,2024-05-31 11:23:00,Columbus,OH,0
TXN-000153,3444000152,Merchant_shopping_net_19,shopping_net,135.8,2024-06-01 03:58:00,Philadelphia,PA,1
TXN-000154,1950000153,Merchant_shopping_net_30,shopping_net,294.2,2024-06-02 10:04:00,Los Angeles,CA,0
TXN-000155,1977000154,Merchant_entertainment_15,entertainment,92.34,2024-06-03 19:32:00,Houston,TX,0
TXN-000156,3309000155,Merchant_misc_net_21,misc_net,287.51,2024-06-04 08:24:00,Chicago,IL,0
TXN-000157,9866000156,Merchant_shopping_pos_36,shopping_pos,49.09,2024-06-05 14:10:00,Seattle,WA,0
TXN-000158,8663000157,Merchant_kids_pets_47,kids_pets,167.71,2024-06-06 09:10:00,Charlotte,NC,0
TXN-000159,8275000158,Merchant_kids_pets_17,kids_pets,110.45,2024-06-07 11:34:00,Atlanta,GA,0
TXN-000160,4850000159,Merchant_travel_31,travel,6.13,2024-06-08 11:00:00,Seattle,WA,0
TXN-000161,6775000160,Merchant_shopping_pos_26,shopping_pos,364.37,2024-06-09 08:58:00,Los Angeles,CA,0
TXN-000162,7298000161,Merchant_personal_care_33,personal_care,84.63,2024-06-10 15:22:00,Los Angeles,CA,0
TXN-000163,6214000162,Merchant_shopping_net_11,shopping_net,710.63,2024-06-11 23:38:00,New York,NY,1
TXN-000164,2098000163,Merchant_misc_net_46,misc_net,108.85,2024-06-12 18:28:00,Atlanta,GA,0
TXN-000165,4473000164,Merchant_entertainment_32,entertainment,318.58,2024-06-13 17:03:00,Miami,FL,0
TXN-000166,2854000165,Merchant_food_dining_37,food_dining,328.21,2024-06-14 08:35:00,Houston,TX,0
TXN-000167,1899000166,Merchant_home_1,home,253.15,2024-06-15 12:05:00,Atlanta,GA,0
TXN-000168,9248000167,Merchant_health_fitness_9,health_fitness,15.15,2024-06-16 08:55:00,Philadelphia,PA,0
TXN-000169,9902000168,Merchant_personal_care_31,personal_care,265.96,2024-06-17 12:34:00,Chicago,IL,0
TXN-000170,5687000169,Merchant_food_dining_45,food_dining,212.41,2024-06-18 16:17:00,Philadelphia,PA,0
TXN-000171,9628000170,Merchant_health_fitness_27,health_fitness,241.91,2024-06-19 12:46:00,Columbus,OH,0
TXN-000172,8950000171,Merchant_shopping_net_17,shopping_net,5320.45,2024-06-20 04:42:00,Columbus,OH,1
TXN-000173,7439000172,Merchant_shopping_net_39,shopping_net,4198.61,2024-06-21 01:42:00,Philadelphia,PA,1
TXN-000174,2730000173,Merchant_shopping_pos_44,shopping_pos,193.41,2024-06-22 18:04:00,New York,NY,0
TXN-000175,3885000174,Merchant_health_fitness_32,health_fitness,150.17,2024-06-23 18:14:00,Columbus,OH,0
TXN-000176,7146000175,Merchant_health_fitness_3,health_fitness,176.86,2024-06-24 14:37:00,Charlotte,NC,0
TXN-000177,9024000176,Merchant_misc_pos_32,misc_pos,177.1,2024-06-25 09:58:00,Charlotte,NC,0
TXN-000178,6944000177,Merchant_grocery_pos_7,grocery_pos,185.65,2024-06-26 08:34:00,Seattle,WA,0
TXN-000179,8419000178,Merchant_home_27,home,239.55,2024-06-27 19:02:00,Columbus,OH,0
TXN-000180,9478000179,Merchant_misc_pos_40,misc_pos,144.36,2024-06-28 10:01:00,Philadelphia,PA,0
TXN-000181,5278000180,Merchant_food_dining_29,food_dining,225.39,2024-06-29 19:27:00,Philadelphia,PA,0
TXN-000182,9030000181,Merchant_misc_pos_44,misc_pos,28.22,2024-06-30 13:11:00,Philadelphia,PA,0
TXN-000183,3514000182,Merchant_shopping_net_36,shopping_net,185.22,2024-07-01 18:01:00,Philadelphia,PA,0
TXN-000184,7495000183,Merchant_shopping_net_29,shopping_net,53.65,2024-07-02 12:29:00,Miami,FL,0
TXN-000185,6606000184,Merchant_travel_24,travel,97.47,2024-07-03 15:17:00,Columbus,OH,0
TXN-000186,5125000185,Merchant_gas_transport_44,gas_transport,53.35,2024-07-04 20:20:00,Chicago,IL,0
TXN-000187,5783000186,Merchant_food_dining_29,food_dining,70.88,2024-07-05 14:25:00,Philadelphia,PA,0
TXN-000188,8706000187,Merchant_shopping_net_44,shopping_net,166.04,2024-07-06 22:36:00,Philadelphia,PA,1
TXN-000189,8551000188,Merchant_misc_net_31,misc_net,9588.21,2024-07-07 02:22:00,Charlotte,NC,1
TXN-000190,6626000189,Merchant_misc_pos_18,misc_pos,337.03,2024-07-08 17:30:00,Seattle,WA,0
TXN-000191,4410000190,Merchant_grocery_pos_20,grocery_pos,160.46,2024-07-09 13:01:00,Chicago,IL,0
TXN-000192,4815000191,Merchant_travel_2,travel,56.08,2024-07-10 13:19:00,New York,NY,0
TXN-000193,3475000192,Merchant_kids_pets_8,kids_pets,18.66,2024-07-11 13:14:00,Atlanta,GA,0
TXN-000194,8254000193,Merchant_personal_care_27,personal_care,233.29,2024-07-12 17:39:00,Seattle,WA,0
TXN-000195,8163000194,Merchant_home_23,home,342.36,2024-07-13 15:12:00,Seattle,WA,0
TXN-000196,1132000195,Merchant_misc_net_45,misc_net,390.92,2024-07-14 09:08:00,Atlanta,GA,0
TXN-000197,3986000196,Merchant_personal_care_15,personal_care,318.04,2024-07-15 15:23:00,Philadelphia,PA,0
TXN-000198,1545000197,Merchant_food_dining_38,food_dining,148.04,2024-07-16 15:17:00,New York,NY,0
TXN-000199,1885000198,Merchant_grocery_pos_18,grocery_pos,42.47,2024-07-17 08:21:00,Chicago,IL,0
TXN-000200,5098000199,Merchant_gas_transport_6,gas_transport,212.72,2024-07-18 15:45:00,Columbus,OH,0
TXN-000201,3438000200,Merchant_misc_pos_2,misc_pos,11.65,2024-07-19 16:25:00,Philadelphia,PA,0
TXN-000202,4944000201,Merchant_shopping_pos_42,shopping_pos,364.44,2024-07-20 18:28:00,Columbus,OH,0
TXN-000203,8965000202,Merchant_misc_net_14,misc_net,320.5,2024-07-21 09:17:00,Columbus,OH,0
TXN-000204,1395000203,Merchant_personal_care_14,personal_care,101.13,2024-07-22 13:57:00,Philadelphia,PA,0
TXN-000205,7100000204,Merchant_misc_net_33,misc_net,364.4,2024-07-23 15:56:00,Charlotte,NC,0
TXN-000206,8487000205,Merchant_kids_pets_18,kids_pets,258.94,2024-07-24 12:01:00,Atlanta,GA,0
TXN-000207,4136000206,Merchant_grocery_pos_5,grocery_pos,6182.69,2024-07-25 03:02:00,Houston,TX,1
TXN-000208,9793000207,Merchant_misc_pos_3,misc_pos,188.55,2024-07-26 15:53:00,Seattle,WA,0
TXN-000209,5930000208,Merchant_shopping_net_10,shopping_net,6226.54,2024-07-27 22:03:00,Columbus,OH,1
TXN-000210,4456000209,Merchant_shopping_net_29,shopping_net,6019.61,2024-07-28 02:04:00,New York,NY,1
TXN-000211,6897000210,Merchant_misc_net_5,misc_net,29.03,2024-07-29 16:34:00,Columbus,OH,0
TXN-000212,7472000211,Merchant_gas_transport_35,gas_transport,183.95,2024-07-30 14:37:00,Seattle,WA,0
TXN-000213,4372000212,Merchant_food_dining_39,food_dining,339.27,2024-07-31 17:20:00,Charlotte,NC,0
TXN-000214,6235000213,Merchant_kids_pets_8,kids_pets,287.17,2024-08-01 12:39:00,Houston,TX,0
TXN-000215,7953000214,Merchant_health_fitness_48,health_fitness,224.43,2024-08-02 16:29:00,Charlotte,NC,0
TXN-000216,2422000215,Merchant_personal_care_24,personal_care,224.51,2024-08-03 10:56:00,Chicago,IL,0
TXN-000217,5437000216,Merchant_kids_pets_42,kids_pets,267.28,2024-08-04 13:17:00,Seattle,WA,0
TXN-000218,7954000217,Merchant_personal_care_38,personal_care,354.56,2024-08-05 12:16:00,Atlanta,GA,0
TXN-000219,4818000218,Merchant_gas_transport_42,gas_transport,380.27,2024-08-06 14:40:00,Seattle,WA,0
TXN-000220,3571000219,Merchant_home_4,home,71.33,2024-08-07 18:37:00,Charlotte,NC,0
TXN-000221,5515000220,Merchant_food_dining_20,food_dining,46.8,2024-08-08 12:42:00,New York,NY,0
TXN-000222,2710000221,Merchant_grocery_pos_7,grocery_pos,255.5,2024-08-09 10:34:00,Columbus,OH,0
TXN-000223,6923000222,Merchant_health_fitness_49,health_fitness,387.79,2024-08-10 09:21:00,Charlotte,NC,0
TXN-000224,1300000223,Merchant_personal_care_38,personal_care,198.51,2024-08-11 20:27:00,Houston,TX,0
TXN-000225,1134000224,Merchant_health_fitness_32,health_fitness,225.54,2024-08-12 15:43:00,Houston,TX,0
TXN-000226,7701000225,Merchant_food_dining_37,food_dining,249.89,2024-08-13 19:05:00,Chicago,IL,0
TXN-000227,3316000226,Merchant_travel_39,travel,249.27,2024-08-14 14:07:00,Columbus,OH,0
TXN-000228,2460000227,Merchant_misc_pos_13,misc_pos,163.28,2024-08-15 20:54:00,Charlotte,NC,0
TXN-000229,9849000228,Merchant_entertainment_44,entertainment,256.29,2024-08-16 08:20:00,Columbus,OH,0
TXN-000230,9914000229,Merchant_home_5,home,282.33,2024-08-17 19:30:00,Columbus,OH,0
TXN-000231,6410000230,Merchant_grocery_pos_39,grocery_pos,139.0,2024-08-18 17:15:00,Chicago,IL,0
TXN-000232,4757000231,Merchant_travel_29,travel,92.56,2024-08-19 09:04:00,Atlanta,GA,0
TXN-000233,9959000232,Merchant_kids_pets_41,kids_pets,381.63,2024-08-20 10:20:00,Houston,TX,0
TXN-000234,4669000233,Merchant_health_fitness_17,health_fitness,285.15,2024-08-21 12:27:00,Chicago,IL,0
TXN-000235,3100000234,Merchant_kids_pets_9,kids_pets,138.09,2024-08-22 09:46:00,New York,NY,0
TXN-000236,2010000235,Merchant_kids_pets_17,kids_pets,89.93,2024-08-23 12:13:00,Los Angeles,CA,0
TXN-000237,1766000236,Merchant_travel_5,travel,362.77,2024-08-24 10:21:00,Philadelphia,PA,0
TXN-000238,5657000237,Merchant_grocery_pos_35,grocery_pos,5640.43,2024-08-25 02:16:00,Philadelphia,PA,1
TXN-000239,6070000238,Merchant_grocery_pos_26,grocery_pos,261.19,2024-08-26 08:39:00,Seattle,WA,0
TXN-000240,4940000239,Merchant_shopping_net_7,shopping_net,229.07,2024-08-27 16:18:00,Los Angeles,CA,0
TXN-000241,5500000240,Merchant_misc_net_47,misc_net,94.44,2024-08-28 12:24:00,Los Angeles,CA,0
TXN-000242,7100000241,Merchant_home_48,home,134.66,2024-08-29 08:42:00,New York,NY,0
